batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B030722,422,399,340,226,59,133,243,18,858,907,454,295,335,145,692,213,266,858,641,794,37,849,718,33,20,722,28,368,718,413
B003817,852,249,811,614,430,849,190,46,362,428,477,330,6,137,652,783,977,62,383,696,280,8,753,340,20,854,503,632,957,393
B019075,593,475,353,587,649,360,714,23,420,404,938,630,230,861,175,160,274,858,168,367,824,316,63,526,857,285,82,986,250,872
B002861,653,87,860,538,8,623,953,432,693,505,993,272,705,464,435,954,894,316,692,500,223,77,427,535,397,751,386,683,228,860
B047787,660,616,958,234,558,111,42,760,621,755,776,554,369,647,256,1,470,162,830,615,865,83,828,270,950,900,166,370,59,871
B004474,218,705,56,674,60,855,948,196,542,856,962,558,808,978,528,786,411,487,563,289,418,103,622,212,86,215,988,940,958,959
B042424,222,321,118,807,692,837,438,890,835,827,44,282,793,182,821,561,917,169,563,32,302,824,664,692,513,521,389,917,681,974
B012711,966,288,307,20,624,523,231,16,232,432,38,545,223,480,124,116,917,74,602,639,906,156,826,673,137,307,26,332,38,559
B038717,553,723,991,720,530,158,414,894,953,844,734,764,311,475,587,764,697,64,785,623,74,177,214,959,769,399,858,393,200,896
B042712,588,522,85,573,865,12,819,985,967,421,270,603,863,800,35,605,856,956,634,963,11,285,522,739,712,536,453,559,509,679
B025316,97,694,189,887,401,390,301,300,924,789,790,402,890,533,383,875,604,147,691,906,167,392,237,41,505,888,321,583,13,84
B048784,164,996,678,224,758,372,774,294,254,871,84,56,890,443,555,352,741,228,327,683,4,474,932,563,670,88,971,83,882,636
B024786,744,898,931,324,11,564,39,565,476,181,686,679,577,799,980,187,242,703,910,728,333,336,729,794,137,44,895,505,48,976
B029509,320,619,556,552,168,994,186,846,701,558,379,199,948,836,642,311,775,711,294,548,490,357,447,571,594,963,325,851,31,775
B009928,120,121,89,629,130,552,949,565,427,605,39,810,775,780,56,453,594,608,912,434,189,73,9,17,713,86,715,937,161,422
B014330,822,402,120,947,605,639,565,201,296,191,663,646,225,754,158,671,768,819,253,533,176,96,291,423,171,414,430,888,234,356
B034565,181,644,809,862,710,747,401,727,204,203,120,984,565,810,282,242,293,175,75,812,152,515,250,671,533,435,685,94,10,853
B045498,76,829,360,968,519,671,381,547,618,870,96,462,386,521,431,707,846,423,678,646,445,492,383,36,496,552,150,744,112,127
B019790,865,548,712,644,483,120,955,579,582,745,11,546,997,794,515,648,847,249,60,723,120,279,658,538,915,521,601,66,154,708
B034067,178,826,6,313,430,83,862,919,757,800,103,526,955,405,925,235,821,429,578,796,895,240,870,785,934,942,610,582,235,519
B008909,460,207,361,902,706,727,696,165,672,924,793,901,829,24,959,102,44,209,367,5,891,805,593,409,916,30,570,825,781,642
B025569,446,142,748,180,959,916,29,112,367,831,124,531,728,260,144,575,213,549,275,272,941,320,475,377,555,208,311,665,932,14
B019481,757,474,93,856,772,678,543,371,371,425,697,443,951,435,155,838,62,48,638,346,258,152,425,367,39,528,121,300,494,522
B015022,405,189,698,479,405,740,593,90,698,503,398,575,549,987,727,609,285,294,472,192,936,715,461,592,990,344,750,128,586,951
B045048,341,980,957,293,176,348,55,695,10,935,424,220,953,139,124,758,88,241,635,954,648,797,136,777,405,516,756,334,530,751
B029461,400,695,246,915,609,806,148,206,742,33,941,641,74,175,811,771,398,228,793,805,213,669,333,8,951,61,481,666,101,667
B005535,92,294,169,858,94,243,221,913,315,975,296,462,824,379,974,952,941,86,341,700,582,278,632,562,580,117,353,791,933,842
B047889,462,91,73,634,2,749,988,282,748,919,733,182,750,258,171,985,430,462,116,466,588,594,352,912,240,895,271,553,92,854
B045885,985,36,19,148,102,202,954,172,728,53,106,741,616,422,20,614,583,944,655,607,116,549,201,442,968,644,188,48,773,194
B047477,809,66,13,611,809,557,457,768,635,836,865,614,453,57,651,326,97,551,775,59,270,13,763,62,540,673,937,294,462,346
B007082,481,631,785,45,691,599,469,297,51,174,994,4,841,360,228,220,21,171,185,607,755,843,840,916,766,172,797,94,103,818
B035177,578,73,122,7,368,927,617,810,232,289,755,326,90,176,643,113,945,937,788,889,860,406,163,534,650,117,77,696,601,899
B014903,426,489,696,441,900,995,461,362,180,292,269,978,887,339,176,205,783,604,654,316,376,99,767,564,619,321,230,703,393,662
B043285,593,942,895,208,925,109,676,682,698,376,744,975,992,578,245,990,108,26,847,473,509,300,65,329,590,765,669,996,685,661
B002789,435,829,381,964,60,502,567,981,2,953,924,321,396,39,841,615,337,282,307,556,722,904,930,956,438,287,483,507,861,332
B002817,405,486,322,114,540,253,327,138,557,71,758,295,965,754,794,59,8,459,33,718,600,747,97,581,459,318,518,343,8,856
B044016,757,341,419,860,361,449,767,617,92,497,434,720,238,564,76,195,722,709,326,222,75,970,653,608,600,95,68,580,305,946
B018908,257,288,845,822,425,164,220,922,578,450,461,277,864,286,500,25,528,622,497,549,475,437,551,411,213,844,498,335,422,397
B011436,309,573,378,495,286,70,222,319,696,355,698,373,129,684,766,244,691,594,981,145,798,917,504,141,298,21,70,53,324,672
B044501,180,158,653,730,31,556,417,917,396,18,487,791,930,95,203,973,427,388,156,536,509,399,614,27,667,479,341,80,858,49
B021536,902,278,88,742,604,627,582,445,371,629,89,838,53,740,670,485,416,782,122,704,618,696,670,829,518,501,973,966,81,522
B030927,898,355,968,773,345,640,508,519,445,809,433,512,239,236,737,126,753,709,456,308,255,505,843,536,847,680,288,310,184,182
B030882,725,911,130,532,82,203,958,914,477,154,729,493,333,727,248,394,573,848,390,716,685,215,79,330,444,792,191,894,341,720
B029857,349,669,381,313,333,489,594,166,472,71,678,101,904,832,552,598,663,363,668,88,859,824,65,239,167,576,608,189,952,415
B016927,701,722,302,864,817,279,386,297,893,123,626,78,489,605,311,312,608,810,771,348,623,787,133,864,65,823,556,780,524,919
B021416,310,529,874,694,732,170,505,734,417,595,804,285,689,246,635,274,621,865,985,365,81,559,790,721,423,157,646,763,523,204
B010005,80,790,183,246,242,647,429,676,435,994,90,682,723,398,833,927,61,45,972,360,195,237,527,138,199,308,70,688,121,310
B002060,276,835,275,20,156,226,609,105,947,416,804,652,995,777,644,767,949,952,167,406,606,703,926,997,347,875,390,146,304,687
B016750,711,570,979,957,18,855,322,885,458,614,433,261,400,46,454,799,366,169,137,698,304,343,199,61,819,781,799,907,46,201
B036892,793,762,296,826,229,714,591,475,530,237,146,145,571,944,689,176,172,495,767,63,988,236,966,235,172,435,387,667,463,89
B002066,910,107,306,472,449,965,848,618,624,298,810,150,34,674,417,675,140,998,666,667,164,482,628,438,811,144,833,295,31,81
B021366,497,252,923,276,519,279,689,391,522,423,232,22,517,582,631,968,36,329,975,117,838,470,688,688,504,587,114,430,485,168
B006011,87,999,367,153,0,254,173,963,8,973,467,134,272,594,250,941,265,115,562,912,710,510,657,615,611,400,807,268,955,2
B044423,415,806,71,150,842,18,507,456,411,267,304,828,12,156,932,963,469,21,761,845,836,438,36,929,698,528,609,461,142,512
B014380,399,695,133,597,600,788,672,878,841,817,500,926,330,35,71,363,90,280,687,279,295,552,725,370,740,52,591,587,278,959
B021834,998,225,495,389,253,369,144,158,827,541,634,294,68,486,28,154,798,114,668,687,40,367,421,603,989,673,12,264,928,138
B032525,659,46,927,755,20,994,701,230,546,16,213,808,346,778,941,470,868,719,67,821,326,456,797,772,692,824,265,753,296,699
B044668,519,552,120,173,979,253,303,721,244,867,28,738,860,593,773,142,757,363,239,170,286,242,83,680,176,430,884,94,925,596
B000878,945,975,828,613,838,191,526,825,492,945,846,396,165,512,505,377,797,523,913,573,481,306,886,554,755,818,883,320,197,12
B007187,69,657,772,689,607,313,129,176,853,586,423,112,390,605,685,213,976,130,975,716,86,343,490,744,731,76,965,939,709,3
B050199,590,974,29,923,481,601,226,747,452,338,908,705,91,431,279,575,323,835,321,332,707,884,212,194,583,386,607,71,375,674
B030977,689,769,512,787,522,124,74,446,351,541,761,924,391,297,345,468,924,876,496,681,143,514,37,281,619,95,22,179,867,93
B030393,768,222,147,180,490,187,107,748,171,472,178,315,833,185,747,359,479,625,255,902,769,723,69,263,683,693,226,827,867,359
B028642,271,90,218,988,952,177,886,30,257,323,855,726,654,149,859,985,443,740,13,50,789,476,471,680,760,858,226,40,244,502
B014587,803,321,981,839,473,520,460,390,953,225,324,339,683,353,968,857,510,916,292,552,132,508,311,177,215,678,356,53,578,441
B043711,266,799,953,233,702,328,161,903,163,628,736,813,252,94,140,280,156,228,768,973,558,649,662,123,346,249,198,831,869,156
B005506,426,569,216,770,78,291,876,935,920,818,60,935,681,857,517,202,38,206,814,330,270,502,574,273,172,2,526,606,685,497
B007089,318,238,313,734,239,253,865,772,862,550,775,551,794,119,420,653,278,944,120,458,771,933,472,919,514,699,104,703,228,822
B016542,742,403,488,344,1,554,262,14,834,933,180,557,416,560,200,503,41,801,548,337,463,423,979,184,31,787,409,692,357,549
B004935,299,427,664,214,124,606,865,516,695,88,653,378,311,429,909,730,454,868,867,978,742,194,27,77,990,604,201,986,826,126
B032576,291,651,272,73,664,115,336,408,706,118,993,755,830,186,473,337,473,723,257,858,213,886,762,703,346,637,206,197,473,800
B044956,823,617,890,637,822,418,906,259,746,39,526,397,426,414,736,33,283,688,883,219,54,23,683,448,923,705,541,936,460,610
B022001,412,741,330,503,81,387,576,616,376,94,694,18,296,395,329,280,871,711,918,465,401,176,13,80,945,494,886,933,556,664
B045955,220,73,563,753,844,131,313,550,498,43,41,86,925,340,806,577,471,987,783,602,706,602,475,298,241,431,141,166,788,989
B018319,484,951,757,580,483,805,400,297,176,995,410,19,418,334,108,958,650,185,553,330,195,282,648,576,865,207,215,835,16,590
B041246,861,655,33,445,924,387,232,889,137,90,985,766,178,439,445,614,564,655,997,795,493,88,336,540,758,575,833,105,926,828
B019138,361,480,97,865,145,802,244,834,684,146,2,338,276,856,695,292,891,988,646,824,62,567,199,952,929,167,109,345,654,392
B047968,649,289,25,88,73,670,491,176,226,804,263,571,924,290,137,452,965,109,442,964,76,350,612,547,745,198,443,257,960,181
B004146,272,964,483,95,126,778,496,251,682,878,295,135,476,337,218,984,90,702,39,537,743,91,132,820,348,55,306,795,171,772
B007044,320,780,243,664,51,4,9,181,704,108,77,814,250,200,618,72,698,608,314,780,469,153,280,966,898,483,848,552,310,970
B042442,671,230,797,453,804,885,629,767,946,934,541,966,76,722,499,74,603,751,556,501,872,955,336,464,818,203,342,511,926,778
B049757,496,107,59,438,368,701,932,990,666,622,401,417,669,195,3,72,92,357,292,574,317,549,191,889,954,566,237,332,312,783
B048214,102,870,721,774,891,421,991,891,296,42,916,401,915,146,347,677,856,834,695,856,448,32,729,721,459,530,779,785,33,621
B005763,648,521,503,544,680,296,994,535,378,516,586,948,816,336,382,940,271,32,638,876,871,625,163,597,833,283,900,472,426,163
B038829,343,5,864,78,524,366,920,827,309,524,218,646,180,147,461,641,108,403,722,764,179,639,498,605,509,253,556,75,401,122
B021800,577,460,881,172,896,892,638,634,688,994,695,220,307,257,950,780,518,66,339,604,242,536,555,115,138,815,562,174,809,953
B011700,314,832,531,37,811,281,652,733,478,974,698,719,983,947,765,555,919,242,641,3,914,510,184,817,770,237,26,192,697,989
B012101,681,969,722,635,553,177,656,373,825,341,422,332,701,588,759,989,970,113,305,938,382,241,208,190,388,807,545,287,200,248
B014443,436,3,390,728,968,749,158,539,908,594,899,285,23,204,468,308,485,503,326,361,257,36,624,72,241,427,796,495,651,482
B003654,122,158,388,442,603,143,233,952,174,924,68,707,279,347,832,170,66,275,576,2,197,177,435,913,714,160,222,173,458,611
B029426,384,293,943,473,831,204,441,505,430,397,555,59,784,846,933,809,823,571,736,379,990,212,423,12,897,924,954,725,969,886
B015651,149,427,648,268,394,170,459,266,362,415,30,617,470,421,990,572,890,100,58,277,977,30,811,155,973,8,715,349,599,38
B033569,882,3,213,394,510,565,650,321,111,115,619,731,247,393,814,104,401,30,75,422,775,404,519,800,939,495,726,379,148,118
B041285,65,439,305,745,624,580,87,734,273,917,416,462,45,437,139,633,140,444,195,703,13,837,613,881,42,106,767,348,902,433
B000613,10,395,22,470,156,995,579,7,57,271,130,423,384,27,673,832,854,512,285,408,644,205,989,282,865,976,213,808,498,942
B019015,557,636,88,751,427,514,981,915,193,651,692,484,778,725,849,652,604,888,437,253,477,136,527,795,725,280,98,279,561,244
B042883,60,284,599,169,700,128,805,675,160,618,430,202,245,105,690,294,926,183,190,573,271,589,230,102,61,569,87,804,577,172
B048838,441,61,484,258,783,518,713,108,635,950,792,413,163,835,239,184,34,700,503,802,80,453,910,959,286,467,195,537,70,33
B023860,257,430,695,464,41,422,194,381,428,699,430,750,205,886,437,494,229,329,114,549,546,163,626,639,939,19,149,284,503,460
B016790,116,820,740,309,651,586,346,520,82,753,493,326,637,630,352,378,489,135,330,75,561,622,666,612,528,416,235,140,979,978
B015226,758,14,157,502,748,910,190,142,456,444,420,903,573,363,364,228,106,23,461,810,466,738,27,315,985,410,422,551,142,466
B033942,400,321,734,1,34,230,581,889,521,191,464,94,507,880,482,889,723,859,713,898,35,135,179,71,751,132,469,359,8,695
B020862,78,192,792,632,407,145,338,848,653,671,304,427,430,627,226,256,434,799,419,195,270,496,802,743,181,282,251,140,921,317
B037112,640,779,7,63,633,541,868,251,463,558,808,84,650,920,594,173,276,572,443,481,220,199,11,815,964,891,40,342,491,112
B002883,223,86,500,681,923,232,697,409,365,450,455,728,714,464,816,731,289,441,195,69,856,464,397,226,523,666,222,955,47,925
B030744,363,187,279,940,909,40,526,243,568,130,790,186,437,602,572,696,676,968,469,612,353,396,86,953,427,408,787,137,768,404
B006834,614,530,639,460,127,923,152,289,227,419,179,442,261,606,887,890,508,257,736,149,729,326,792,733,393,655,764,846,198,798
B018601,772,245,547,755,195,678,851,1,596,924,599,401,160,556,237,216,393,204,216,858,617,745,873,962,421,148,371,457,779,22
B013732,399,55,882,707,727,323,296,163,237,61,160,297,305,232,114,45,875,310,196,512,907,3,993,753,546,953,22,491,687,510
B049022,192,672,568,766,7,981,382,130,296,105,350,6,393,444,714,187,729,361,593,831,146,633,345,706,296,59,126,564,577,783
B010183,536,953,243,945,678,423,930,168,298,48,674,727,936,890,810,78,540,979,958,89,686,32,426,407,686,1,331,154,470,184
B038125,190,611,257,416,751,125,581,128,48,491,347,575,496,435,233,741,446,24,932,48,173,563,977,359,591,219,847,430,327,36
B044305,12,72,772,497,49,767,104,540,915,65,244,504,86,334,166,673,739,529,925,804,296,291,313,935,541,788,939,956,559,854
B046014,644,106,0,145,946,80,902,181,526,599,108,122,738,614,940,294,610,682,802,380,940,72,927,844,555,232,747,505,320,698
B006421,953,599,207,688,934,502,974,433,702,350,142,978,344,67,91,974,987,201,257,276,612,376,727,832,453,235,550,197,3,143
B013165,224,0,998,560,727,338,139,710,998,466,291,985,614,476,90,267,273,583,493,971,16,353,880,840,688,629,455,6,25,443
B017546,643,840,978,462,135,180,902,775,81,954,779,110,100,259,51,617,200,305,126,636,385,768,523,476,68,131,873,0,777,193
B009791,900,372,615,251,451,708,325,604,188,688,896,249,785,566,211,403,691,280,276,330,42,535,14,270,116,736,864,149,47,458
B020183,651,475,249,796,323,534,909,77,151,830,317,582,104,380,638,332,149,53,834,83,526,248,990,570,899,0,542,12,148,215
B006943,734,469,769,32,200,542,664,456,228,396,846,529,48,828,740,837,62,768,472,404,802,344,864,207,381,383,924,562,243,324
B012274,580,15,26,383,483,612,982,645,518,218,931,201,73,676,552,232,785,738,15,666,710,97,793,518,279,540,649,801,500,792
B031125,200,604,422,36,423,431,416,514,301,112,236,169,968,983,707,374,471,472,710,587,357,135,540,300,503,603,11,781,582,880
B017727,932,140,921,759,326,746,956,21,962,958,756,473,373,228,694,191,986,817,360,953,612,17,450,666,509,651,706,160,693,974
B003963,161,928,410,421,826,405,147,774,680,832,164,65,767,894,885,658,807,783,316,913,960,484,689,712,586,606,57,361,710,216
B035169,2,652,327,708,331,59,128,33,119,354,225,905,630,844,650,652,236,588,340,6,754,845,219,427,864,450,563,362,83,404
B026359,489,86,994,836,601,665,594,299,252,496,898,723,430,129,749,126,372,633,329,858,35,108,200,649,808,485,408,822,619,627
B005226,528,454,696,111,329,664,710,174,247,510,131,233,71,31,627,320,501,792,757,868,627,388,63,300,305,94,195,802,312,58
B047350,941,617,219,643,88,591,926,634,895,11,444,684,638,42,798,64,411,467,750,937,177,323,935,64,763,985,764,63,899,489
B045197,484,92,191,244,593,290,735,536,522,411,692,756,749,955,622,427,700,475,845,519,579,465,292,290,221,411,35,121,351,306
B027194,913,633,478,659,676,769,777,30,578,2,552,569,474,504,466,166,612,575,792,772,167,519,144,356,186,705,293,490,122,162
B011417,589,687,666,96,355,221,242,4,961,251,762,282,847,82,67,349,824,165,994,145,295,768,110,656,44,105,154,874,474,512
B006499,343,829,880,938,901,863,351,77,378,870,784,554,902,678,592,153,16,856,404,185,635,610,985,347,44,825,276,233,568,814
B039759,367,156,611,888,64,320,711,78,721,84,824,737,324,958,556,285,65,661,873,675,184,366,694,143,72,444,136,358,670,853
B031605,107,43,868,38,355,760,868,601,485,764,179,793,301,209,239,962,471,530,490,546,670,928,537,302,41,466,103,547,635,444
B040416,434,966,292,65,816,186,68,572,202,448,650,561,657,141,274,122,121,635,267,759,111,839,268,283,215,243,0,28,912,730
B000808,923,921,232,291,480,76,99,516,375,421,423,903,135,638,19,481,918,80,608,994,456,681,262,417,819,694,708,411,345,950
B003576,775,746,167,526,430,983,304,182,883,54,362,490,442,792,494,735,209,315,90,416,582,139,980,109,803,500,980,868,943,376
B022497,200,754,88,901,500,405,172,869,96,527,765,151,882,115,479,289,155,196,334,802,589,246,708,350,189,379,532,37,255,478
B042063,291,904,799,865,659,332,886,601,11,818,132,536,261,776,192,408,701,728,265,829,799,411,952,882,676,74,745,97,304,71
B039788,730,936,596,756,786,967,448,353,859,535,707,366,403,495,421,666,41,87,704,157,598,200,983,288,214,709,216,612,887,287
B028346,131,13,102,436,452,854,700,182,459,960,672,319,29,755,96,932,942,351,24,510,836,971,828,770,851,14,786,267,453,792
B045096,614,557,664,240,465,587,125,697,658,755,506,833,209,90,326,931,756,156,248,918,929,853,140,352,187,767,495,396,230,196
B025026,483,115,179,416,550,505,795,337,835,789,237,725,378,921,323,680,629,802,734,767,952,81,261,891,621,132,794,782,946,278
B007914,52,456,466,68,780,724,973,393,356,686,750,820,51,538,381,874,786,509,332,387,380,554,365,482,706,65,726,248,693,65
B036265,779,212,452,253,327,91,91,674,40,172,500,528,63,8,639,934,168,848,262,38,293,554,611,502,274,49,440,898,14,870
B008550,98,524,84,455,286,332,857,512,247,290,873,254,412,621,859,297,697,668,781,762,222,44,943,530,27,953,626,14,851,401
B013352,763,611,358,333,0,241,814,147,615,149,573,524,449,352,145,247,154,852,247,647,124,216,397,278,47,926,672,983,253,832
B040169,714,698,890,795,322,946,883,518,222,818,91,140,495,15,729,148,970,344,785,458,786,198,140,113,826,716,879,109,604,883
B032613,723,369,352,357,918,296,708,517,507,735,510,155,203,22,20,800,483,526,235,383,908,811,37,220,502,305,768,606,769,247
B004741,934,531,864,939,559,939,262,593,942,72,180,978,891,87,383,321,76,46,309,468,198,678,171,29,806,173,656,316,209,141
B017588,2,960,636,136,279,397,941,360,971,397,670,364,891,314,808,317,562,693,342,956,449,332,365,512,173,71,289,291,489,451
B046839,447,328,793,649,404,72,870,85,722,519,837,940,559,968,506,400,525,208,626,770,499,770,287,414,205,65,363,957,502,265
B024517,763,427,858,918,913,820,771,521,416,798,955,359,85,310,413,606,353,544,894,519,867,836,234,689,303,373,869,592,505,425
B019928,961,58,787,70,183,415,85,694,305,38,550,312,381,492,750,175,425,501,677,435,534,543,831,955,38,405,603,278,922,238
B015545,539,848,288,358,531,732,11,29,666,159,945,248,399,263,218,65,78,335,111,354,596,480,834,509,49,963,256,438,760,262
B045849,13,708,993,351,704,7,312,801,763,466,157,110,70,138,945,545,688,875,35,875,875,991,385,441,737,202,295,392,204,496
B041633,382,818,947,913,583,372,307,697,632,809,319,113,157,601,859,373,279,459,376,308,389,917,325,180,369,923,803,120,681,918
B045033,597,343,708,489,397,128,662,11,78,768,837,469,190,584,249,66,869,701,623,44,711,957,329,302,326,463,230,539,75,472
B005762,769,846,470,309,869,304,866,303,692,218,636,43,17,238,345,64,410,116,155,119,840,264,106,323,445,570,500,714,89,738
B027314,583,132,858,403,198,644,696,694,508,497,815,918,272,517,477,199,379,173,660,0,835,550,391,616,159,976,314,706,306,802
B035699,281,36,295,450,407,782,690,106,634,661,369,783,594,700,170,439,224,603,394,921,801,104,519,448,388,460,444,387,163,761
B030997,295,866,744,581,150,722,550,936,213,695,336,637,679,797,982,245,45,768,486,333,648,833,563,190,989,349,700,467,667,775
B043592,120,573,499,760,404,895,925,752,53,757,500,497,58,503,76,894,981,70,848,447,846,42,780,735,234,560,588,280,93,649
B045435,293,411,637,603,28,633,989,146,825,735,12,474,547,915,920,93,322,702,512,657,441,276,511,36,142,198,335,221,247,684
B044337,632,301,642,663,981,90,481,938,205,162,590,929,500,996,552,41,764,811,10,491,677,142,322,926,813,423,895,152,583,317
B023042,225,917,731,477,988,864,770,229,224,342,670,937,698,903,533,258,494,49,212,739,719,290,690,86,234,779,168,238,899,865
B043792,34,196,733,706,386,682,521,36,466,753,725,841,661,339,148,930,534,244,371,451,722,743,518,160,302,402,406,647,558,95
B034928,960,78,54,160,196,965,658,535,598,372,989,854,936,418,989,733,619,183,649,732,399,233,541,855,669,550,975,600,820,521
B003193,442,511,413,101,399,279,53,552,913,537,692,373,432,469,190,447,604,839,614,816,403,546,948,367,667,27,896,263,943,404
B049650,249,49,261,703,423,763,780,786,220,803,353,463,208,242,590,483,126,771,657,293,188,898,201,831,135,195,192,851,48,141
B015835,74,693,696,79,927,330,113,877,564,19,213,321,134,912,769,959,581,718,367,24,905,500,350,906,874,767,856,452,48,397
B001394,665,358,655,918,22,847,635,188,909,728,16,554,589,952,250,784,334,300,754,562,630,809,663,622,91,228,365,966,935,784
B011876,77,987,157,370,448,489,926,740,686,755,426,826,418,336,7,211,551,843,509,215,395,28,793,861,662,408,370,143,466,486
B009833,811,272,130,804,492,249,450,647,163,45,428,45,259,841,363,518,6,568,370,768,217,374,97,262,533,90,717,913,988,613
B045221,848,742,533,829,356,474,969,988,950,137,969,96,125,680,158,430,597,657,883,836,603,515,832,219,418,80,771,47,603,773
B022556,442,83,494,639,298,898,645,797,219,438,422,226,638,678,642,589,777,593,361,766,621,527,726,597,518,293,155,796,620,578
B013642,479,907,66,544,707,133,31,616,353,897,495,672,311,273,794,871,237,693,208,549,253,461,934,706,824,525,497,744,267,415
B034025,880,252,399,135,871,839,271,148,16,354,477,192,959,524,952,195,64,73,287,331,635,473,460,954,481,508,455,492,981,275
B008661,864,512,108,47,659,622,189,14,153,177,877,489,886,535,16,875,230,860,890,442,588,44,230,740,954,547,557,211,790,199
B045331,786,921,692,455,849,850,104,30,513,313,855,43,664,755,369,10,977,749,801,540,69,637,192,68,708,854,616,803,269,5
B009919,863,467,820,309,769,237,361,891,371,283,886,151,788,177,753,715,27,821,351,7,205,731,551,165,940,242,603,635,756,585
B027812,685,369,898,311,670,666,669,11,782,82,478,79,813,458,990,553,464,391,364,893,594,139,247,854,663,624,275,327,829,687
B047143,763,101,145,761,425,683,88,3,210,681,939,609,692,661,488,343,971,659,344,560,496,589,135,91,204,903,576,629,462,580
B042804,547,733,435,950,654,334,158,119,719,950,791,437,454,164,222,510,513,687,527,54,718,109,398,249,599,893,243,535,856,559
B011008,684,588,95,949,87,81,241,402,726,928,162,893,311,776,792,317,122,775,622,778,807,988,440,868,237,636,999,232,69,509
B026609,525,527,788,546,471,882,99,312,92,587,891,409,344,288,19,321,600,281,168,723,769,219,394,971,234,624,81,895,494,120
B021267,929,900,743,552,982,413,550,949,616,281,386,983,918,836,167,416,237,638,142,309,980,344,500,86,400,265,66,138,155,280
B002933,930,132,786,564,772,199,891,942,245,786,605,476,623,147,426,825,156,98,75,526,710,32,842,442,39,311,304,13,258,23
B021107,393,919,927,314,855,996,435,881,2,550,944,856,978,921,633,67,515,702,85,532,945,70,414,942,107,855,979,415,621,888
B038420,378,996,829,535,117,863,439,632,343,381,359,165,174,751,415,591,355,611,712,930,118,396,302,5,333,985,194,516,146,674
B016111,634,452,986,177,308,905,71,334,598,675,551,133,697,927,43,243,3,35,542,842,61,342,776,869,771,76,978,444,476,791
B004601,777,162,55,114,181,428,91,357,315,152,793,401,643,458,809,885,635,869,122,52,516,513,369,349,369,579,120,331,127,759
