serial_nbr,batchID
S005B046415,B046415
S002B041312,B041312
S004B043655,B043655
S001B008203,B008203
S000B043857,B043857
S004B038205,B038205
S006B021914,B021914
S006B048603,B048603
S003B009249,B009249
S002B031995,B031995
S005B012751,B012751
S000B047003,B047003
S007B012543,B012543
S004B026896,B026896
S008B023840,B023840
S004B014273,B014273
S007B005591,B005591
S005B041487,B041487
S006B023467,B023467
S007B048149,B048149
S004B044936,B044936
S003B047303,B047303
S005B027197,B027197
S006B037278,B037278
S005B026225,B026225
S007B016080,B016080
S000B048978,B048978
S005B011316,B011316
S002B013373,B013373
S002B011998,B011998
S003B037829,B037829
S002B002632,B002632
S002B024780,B024780
S004B023795,B023795
S009B033159,B033159
S004B028634,B028634
S003B009139,B009139
S005B047305,B047305
S007B033000,B033000
S007B001033,B001033
S003B020436,B020436
S008B002156,B002156
S006B009139,B009139
S008B020300,B020300
S008B030039,B030039
S005B026644,B026644
S002B026563,B026563
S007B012571,B012571
S007B001524,B001524
S006B043146,B043146
S002B049144,B049144
S004B005273,B005273
S000B044966,B044966
S009B046078,B046078
S006B044914,B044914
S007B009984,B009984
S008B006889,B006889
S006B028453,B028453
S002B036873,B036873
S008B025297,B025297
S008B041995,B041995
S003B005591,B005591
S004B008616,B008616
S004B040238,B040238
S000B042988,B042988
S004B006674,B006674
S005B037603,B037603
S009B027777,B027777
S007B039687,B039687
S009B015157,B015157
S005B006611,B006611
S007B000971,B000971
S003B028174,B028174
S002B049165,B049165
S000B026221,B026221
S006B017963,B017963
S003B030887,B030887
S001B016707,B016707
S003B037757,B037757
S002B031767,B031767
S004B038016,B038016
S002B005846,B005846
S001B019639,B019639
S002B004168,B004168
S001B045378,B045378
S009B033072,B033072
S007B016924,B016924
S002B044383,B044383
S004B028015,B028015
S002B003623,B003623
S004B036221,B036221
S007B038076,B038076
S004B046280,B046280
S009B027679,B027679
S007B013155,B013155
S004B030143,B030143
S009B024453,B024453
S003B029815,B029815
S003B049323,B049323
S009B025297,B025297
S003B034741,B034741
S000B027846,B027846
S003B040546,B040546
S007B033475,B033475
S008B017967,B017967
S009B033599,B033599
S006B021542,B021542
S008B032151,B032151
S009B039476,B039476
S009B009574,B009574
S006B007850,B007850
S006B019544,B019544
S003B019757,B019757
S004B004146,B004146
S007B002769,B002769
S008B001388,B001388
S001B047888,B047888
S005B029537,B029537
S003B036134,B036134
S000B047006,B047006
S007B010752,B010752
S003B031537,B031537
S004B041304,B041304
S000B035677,B035677
S006B033143,B033143
S000B049383,B049383
S001B040546,B040546
S009B038045,B038045
S000B036367,B036367
S005B024885,B024885
S004B045354,B045354
S005B039278,B039278
S002B022123,B022123
S005B049006,B049006
S008B044797,B044797
S008B001071,B001071
S002B033295,B033295
S000B019283,B019283
S002B035284,B035284
S004B034830,B034830
S004B007255,B007255
S007B031497,B031497
S002B023840,B023840
S003B011441,B011441
S004B044829,B044829
S007B043229,B043229
S004B000321,B000321
S009B032018,B032018
S002B022055,B022055
S003B001797,B001797
S002B029098,B029098
S006B005739,B005739
S001B031333,B031333
S008B049144,B049144
S001B032111,B032111
S003B011342,B011342
S009B026140,B026140
S003B050059,B050059
S009B025231,B025231
S002B001089,B001089
S005B001498,B001498
S005B042561,B042561
S006B033569,B033569
S003B031130,B031130
S000B008419,B008419
S008B045596,B045596
S001B018319,B018319
S007B000158,B000158
S000B034830,B034830
S007B010982,B010982
S006B032111,B032111
S002B040439,B040439
S004B044424,B044424
S003B023840,B023840
S007B047358,B047358
S006B035019,B035019
S000B027650,B027650
S002B020800,B020800
S006B036491,B036491
S009B047336,B047336
S001B016684,B016684
S000B001656,B001656
S001B034052,B034052
S007B044936,B044936
S005B013217,B013217
S002B023936,B023936
S009B042089,B042089
S006B018842,B018842
S005B032646,B032646
S003B032668,B032668
S003B027846,B027846
S001B033626,B033626
S005B006225,B006225
S007B022787,B022787
S005B024824,B024824
S001B018523,B018523
S001B039096,B039096
S007B004853,B004853
S006B017651,B017651
S004B047072,B047072
S006B004023,B004023
S002B042334,B042334
S009B022174,B022174
S007B032194,B032194
S004B035782,B035782
S003B016340,B016340
S003B009449,B009449
S006B042271,B042271
S004B030063,B030063
S006B049791,B049791
S000B037941,B037941
S007B042605,B042605
S004B030393,B030393
S002B001111,B001111
S006B008955,B008955
S006B008070,B008070
S009B033046,B033046
S002B041522,B041522
S000B035844,B035844
S000B024181,B024181
S007B033698,B033698
S009B013880,B013880
S002B022508,B022508
S003B048106,B048106
S000B049165,B049165
S007B035922,B035922
S005B007446,B007446
S008B024359,B024359
S001B014171,B014171
S005B018044,B018044
S006B022707,B022707
S009B032158,B032158
S008B043503,B043503
S007B048965,B048965
S002B038669,B038669
S003B003996,B003996
S009B047281,B047281
S002B022688,B022688
S006B013968,B013968
S001B034664,B034664
S005B021620,B021620
S001B032519,B032519
S009B009234,B009234
S007B019057,B019057
S007B036380,B036380
S003B041995,B041995
S003B035169,B035169
S002B006049,B006049
S008B048508,B048508
S004B020500,B020500
S007B022257,B022257
S007B011493,B011493
S000B012909,B012909
S003B035415,B035415
S008B019246,B019246
S001B028403,B028403
S008B044313,B044313
S008B025878,B025878
S006B034485,B034485
S008B005739,B005739
S004B041487,B041487
S008B028610,B028610
S000B007724,B007724
S007B033072,B033072
S007B049859,B049859
S000B007770,B007770
S000B032519,B032519
S000B047342,B047342
S007B014171,B014171
S001B024824,B024824
S007B013114,B013114
S005B039759,B039759
S008B022796,B022796
S005B012942,B012942
S007B008156,B008156
S002B025239,B025239
S006B049082,B049082
S000B018060,B018060
S005B013590,B013590
S000B030733,B030733
S006B012925,B012925
S001B009055,B009055
S004B004241,B004241
S004B023179,B023179
S005B027645,B027645
S007B049272,B049272
S001B008494,B008494
S001B012893,B012893
S003B013256,B013256
S005B046642,B046642
S003B010872,B010872
S009B002571,B002571
S009B019824,B019824
S003B042841,B042841
S002B013671,B013671
S005B030997,B030997
S008B023972,B023972
S004B025742,B025742
S008B008052,B008052
S008B050178,B050178
S007B019075,B019075
S002B008480,B008480
S004B013701,B013701
S007B028497,B028497
S001B042442,B042442
S009B020071,B020071
S000B029857,B029857
S007B045593,B045593
S000B017261,B017261
S003B022556,B022556
S008B030517,B030517
S005B008660,B008660
S004B017186,B017186
S004B002406,B002406
S009B028442,B028442
S004B033342,B033342
S005B012356,B012356
S000B005954,B005954
S007B008734,B008734
S001B034501,B034501
S006B031987,B031987
S006B045070,B045070
S008B039687,B039687
S006B007762,B007762
S009B023795,B023795
S005B018381,B018381
S001B015253,B015253
S000B049353,B049353
S003B028403,B028403
S001B034545,B034545
S008B002497,B002497
S006B032149,B032149
S001B012925,B012925
S009B003654,B003654
S003B005069,B005069
S000B015803,B015803
S000B043240,B043240
S006B012980,B012980
S008B022673,B022673
S007B034544,B034544
S002B049006,B049006
S003B022440,B022440
S001B019824,B019824
S000B029200,B029200
S002B019161,B019161
S007B043979,B043979
S008B009758,B009758
S007B012720,B012720
S001B015657,B015657
S002B006388,B006388
S005B020987,B020987
S009B006219,B006219
S007B031333,B031333
S003B037280,B037280
S000B005649,B005649
S001B005496,B005496
S009B010051,B010051
S008B029200,B029200
S007B048059,B048059
S001B022945,B022945
S008B047089,B047089
S005B009449,B009449
S000B031583,B031583
S004B038338,B038338
S009B039944,B039944
S002B031725,B031725
S009B034928,B034928
S006B021576,B021576
S007B017998,B017998
S005B009249,B009249
S001B035302,B035302
S002B034581,B034581
S006B046492,B046492
S008B025363,B025363
S000B027737,B027737
S001B005601,B005601
S004B011346,B011346
S003B037485,B037485
S001B019397,B019397
S003B026803,B026803
S009B019919,B019919
S000B004693,B004693
S004B032789,B032789
S005B024859,B024859
S008B012938,B012938
S000B015991,B015991
S008B029738,B029738
S001B004168,B004168
S007B046252,B046252
S003B004509,B004509
S006B028442,B028442
S006B012466,B012466
S003B050024,B050024
S008B024774,B024774
S003B000566,B000566
S008B032143,B032143
S003B012916,B012916
S007B023313,B023313
S001B027557,B027557
S000B044492,B044492
S004B010752,B010752
S008B038928,B038928
S007B044909,B044909
S006B009662,B009662
S000B005408,B005408
S001B020838,B020838
S002B045524,B045524
S008B014333,B014333
S008B027576,B027576
S000B000918,B000918
S001B009204,B009204
S005B018906,B018906
S003B019340,B019340
S006B044829,B044829
S002B007849,B007849
S008B011132,B011132
S004B046633,B046633
S001B013039,B013039
S002B017186,B017186
S009B028650,B028650
S004B036837,B036837
S001B023299,B023299
S006B003279,B003279
S005B036620,B036620
S001B050276,B050276
S005B009803,B009803
S008B046492,B046492
S001B048401,B048401
S006B006145,B006145
S003B034744,B034744
S002B022620,B022620
S006B012543,B012543
S002B045048,B045048
S004B027317,B027317
S006B006327,B006327
S006B005458,B005458
S008B023860,B023860
S005B000009,B000009
S003B021680,B021680
S008B032010,B032010
S008B034898,B034898
S003B039658,B039658
S005B000158,B000158
S009B000326,B000326
S001B009751,B009751
S001B014147,B014147
S002B043168,B043168
S005B022350,B022350
S009B014147,B014147
S008B014171,B014171
S005B007475,B007475
S005B020834,B020834
S000B006182,B006182
S006B015372,B015372
S005B011626,B011626
S001B033159,B033159
S003B011996,B011996
S004B012466,B012466
S002B030632,B030632
S002B039476,B039476
S004B043347,B043347
S007B009157,B009157
S001B040414,B040414
S000B034888,B034888
S002B045861,B045861
S007B003499,B003499
S009B013155,B013155
S009B026573,B026573
S001B006197,B006197
S003B032296,B032296
S003B039484,B039484
S008B017487,B017487
S005B034128,B034128
S008B038203,B038203
S004B033004,B033004
S002B028888,B028888
S001B017660,B017660
S008B016924,B016924
S004B037952,B037952
S002B030143,B030143
S008B010079,B010079
S001B046435,B046435
S000B034049,B034049
S003B002939,B002939
S002B046781,B046781
S005B041387,B041387
S006B012462,B012462
S005B046237,B046237
S002B012126,B012126
S002B021576,B021576
S004B020590,B020590
S000B046526,B046526
S000B017761,B017761
S001B007884,B007884
S003B027777,B027777
S006B012441,B012441
S003B049408,B049408
S001B017454,B017454
S009B021844,B021844
S005B012075,B012075
S002B006752,B006752
S006B014965,B014965
S006B015092,B015092
S007B008616,B008616
S006B004427,B004427
S006B039427,B039427
S002B005861,B005861
S009B027818,B027818
S006B014017,B014017
S009B002324,B002324
S001B026568,B026568
S001B012764,B012764
S002B042289,B042289
S007B023728,B023728
S002B005782,B005782
S009B029724,B029724
S004B047261,B047261
S004B005406,B005406
S005B003382,B003382
S005B025239,B025239
S000B002385,B002385
S000B007158,B007158
S001B001075,B001075
S003B003167,B003167
S004B019042,B019042
S005B005458,B005458
S003B019289,B019289
S002B003815,B003815
S007B022138,B022138
S008B034643,B034643
S004B039759,B039759
S003B015946,B015946
S006B005601,B005601
S001B005262,B005262
S005B034501,B034501
S007B019021,B019021
S007B045494,B045494
S000B024046,B024046
S000B046904,B046904
S008B047099,B047099
S004B020995,B020995
S008B021542,B021542
S006B010376,B010376
S003B011316,B011316
S006B001696,B001696
S008B049035,B049035
S005B044701,B044701
S008B049555,B049555
S009B002972,B002972
S005B049606,B049606
S006B041768,B041768
S007B022608,B022608
S009B030393,B030393
S000B033626,B033626
S008B002571,B002571
S003B047288,B047288
S004B047288,B047288
S006B023066,B023066
S009B030540,B030540
S008B023657,B023657
S008B046719,B046719
S003B038707,B038707
S003B045552,B045552
S000B020279,B020279
S000B030339,B030339
S005B014171,B014171
S006B043125,B043125
S000B032729,B032729
S004B047665,B047665
S004B002373,B002373
S003B024933,B024933
S006B017711,B017711
S009B029238,B029238
S000B020862,B020862
S005B023164,B023164
S005B022872,B022872
S003B047665,B047665
S001B013671,B013671
S003B007092,B007092
S008B042271,B042271
S003B025064,B025064
S001B025006,B025006
S001B017998,B017998
S001B007416,B007416
S000B029362,B029362
S007B020377,B020377
S009B036158,B036158
S006B046859,B046859
S002B040112,B040112
S002B040401,B040401
S004B015730,B015730
S006B019831,B019831
S002B038650,B038650
S005B042027,B042027
S008B030997,B030997
S007B005873,B005873
S009B017711,B017711
S001B019810,B019810
S002B050336,B050336
S004B007612,B007612
S007B034805,B034805
S002B003707,B003707
S000B043201,B043201
S007B002128,B002128
S002B019126,B019126
S001B015803,B015803
S009B011132,B011132
S001B021298,B021298
S000B008494,B008494
S001B039948,B039948
S008B008430,B008430
S009B037952,B037952
S007B026532,B026532
S006B048149,B048149
S008B017505,B017505
S004B020987,B020987
S005B038983,B038983
S001B001619,B001619
S006B012516,B012516
S006B001862,B001862
S007B028210,B028210
S000B031788,B031788
S007B036762,B036762
S007B018822,B018822
S001B043245,B043245
S007B031583,B031583
S002B042610,B042610
S005B044819,B044819
S006B037282,B037282
S008B027570,B027570
S003B047849,B047849
S004B033391,B033391
S004B015043,B015043
S004B027576,B027576
S009B040987,B040987
S004B022138,B022138
S001B030370,B030370
S007B041212,B041212
S005B003321,B003321
S008B028904,B028904
S003B040325,B040325
S006B010205,B010205
S004B029192,B029192
S001B024476,B024476
S005B015256,B015256
S006B008243,B008243
S005B043125,B043125
S008B019635,B019635
S009B035613,B035613
S001B023779,B023779
S008B046553,B046553
S008B042547,B042547
S003B030506,B030506
S003B037042,B037042
S004B023229,B023229
S004B001792,B001792
S004B023860,B023860
S003B050178,B050178
S001B031125,B031125
S003B035099,B035099
S009B034664,B034664
S007B028533,B028533
S003B013783,B013783
S006B049869,B049869
S003B001697,B001697
S002B011308,B011308
S005B045831,B045831
S003B045190,B045190
S009B029207,B029207
S003B042574,B042574
S001B042027,B042027
S000B040039,B040039
S008B020875,B020875
S009B008153,B008153
S009B003551,B003551
S008B043240,B043240
S001B021834,B021834
S007B049459,B049459
S008B020489,B020489
S007B001792,B001792
S001B034323,B034323
S003B029138,B029138
S002B049859,B049859
S001B032018,B032018
S003B027575,B027575
S002B016575,B016575
S002B026311,B026311
S009B029192,B029192
S001B007428,B007428
S009B041249,B041249
S005B049705,B049705
S004B012817,B012817
S003B006283,B006283
S003B013209,B013209
S003B016709,B016709
S007B038931,B038931
S008B004693,B004693
S005B020300,B020300
S002B001566,B001566
S003B018615,B018615
S009B022780,B022780
S002B027679,B027679
S009B023370,B023370
S001B038669,B038669
S003B004693,B004693
S004B030467,B030467
S008B045712,B045712
S001B005678,B005678
S008B022620,B022620
S006B027002,B027002
S004B020638,B020638
S000B037244,B037244
S007B023259,B023259
S005B002687,B002687
S005B037584,B037584
S009B049082,B049082
S007B010885,B010885
S006B005484,B005484
S000B025442,B025442
S003B007295,B007295
S004B000498,B000498
S007B037988,B037988
S006B047430,B047430
S002B002039,B002039
S008B037941,B037941
S002B023779,B023779
S002B036221,B036221
S003B020108,B020108
S003B039232,B039232
S002B028934,B028934
S004B037472,B037472
S004B042089,B042089
S001B033787,B033787
S008B021174,B021174
S001B021407,B021407
S007B038189,B038189
S004B039268,B039268
S000B027777,B027777
S005B021283,B021283
S004B011195,B011195
S001B028934,B028934
S006B010957,B010957
S005B021576,B021576
S009B024257,B024257
S002B017598,B017598
S009B006526,B006526
S008B047633,B047633
S001B042289,B042289
S003B035472,B035472
S007B032385,B032385
S004B005601,B005601
S005B016826,B016826
S006B034670,B034670
S006B041042,B041042
S002B044204,B044204
S009B036912,B036912
S004B042640,B042640
S003B025878,B025878
S004B006684,B006684
S006B026123,B026123
S007B006526,B006526
S005B022673,B022673
S002B000460,B000460
S009B039622,B039622
S004B010138,B010138
S005B034445,B034445
S001B038707,B038707
S001B012516,B012516
S007B032684,B032684
S001B032789,B032789
S009B045861,B045861
S008B018868,B018868
S001B034670,B034670
S001B011962,B011962
S004B038560,B038560
S002B010361,B010361
S008B012099,B012099
S009B037806,B037806
S006B019824,B019824
S001B047055,B047055
S007B021427,B021427
S000B027462,B027462
S009B044424,B044424
S006B001098,B001098
S004B025510,B025510
S008B033847,B033847
S007B004457,B004457
S008B001797,B001797
S002B029955,B029955
S000B017598,B017598
S005B015103,B015103
S004B036849,B036849
S009B030303,B030303
S001B022787,B022787
S005B044555,B044555
S007B014745,B014745
S005B038885,B038885
S009B026316,B026316
S002B038936,B038936
S003B018808,B018808
S008B007209,B007209
S001B038045,B038045
S008B036638,B036638
S002B040818,B040818
S004B008407,B008407
S004B035027,B035027
S003B025711,B025711
S000B043125,B043125
S000B013063,B013063
S003B014017,B014017
S003B046938,B046938
S006B048476,B048476
S009B013284,B013284
S001B018266,B018266
S006B043249,B043249
S006B005627,B005627
S005B045672,B045672
S000B010160,B010160
S005B015564,B015564
S006B003403,B003403
S009B003643,B003643
S009B017984,B017984
S005B035921,B035921
S001B038253,B038253
S002B003321,B003321
S008B049082,B049082
S005B050276,B050276
S001B008370,B008370
S004B038355,B038355
S005B048699,B048699
S001B010802,B010802
S001B014494,B014494
S009B001524,B001524
S003B022925,B022925
S005B034643,B034643
S007B044396,B044396
S001B029192,B029192
S006B039229,B039229
S004B037282,B037282
S006B038542,B038542
S005B009067,B009067
S004B011626,B011626
S009B031396,B031396
S002B010752,B010752
S006B043655,B043655
S004B006611,B006611
S008B014724,B014724
S002B025082,B025082
S003B023889,B023889
S009B006943,B006943
S003B004853,B004853
S000B005245,B005245
S007B031788,B031788
S009B027279,B027279
S005B005954,B005954
S006B010699,B010699
S009B027522,B027522
S007B009662,B009662
S000B047913,B047913
S000B036550,B036550
S007B034583,B034583
S003B007580,B007580
S008B006599,B006599
S006B005297,B005297
S003B010619,B010619
S005B037388,B037388
S009B018385,B018385
S000B030110,B030110
S009B020064,B020064
S009B035699,B035699
S009B048773,B048773
S006B005920,B005920
S003B011749,B011749
S005B017265,B017265
S000B048415,B048415
S004B007829,B007829
S000B008159,B008159
S006B037806,B037806
S005B049113,B049113
S002B042975,B042975
S001B019161,B019161
S007B000566,B000566
S004B006269,B006269
S005B037200,B037200
S000B002939,B002939
S006B036552,B036552
S004B028934,B028934
S005B034830,B034830
S006B022304,B022304
S007B041355,B041355
S008B003374,B003374
S008B023195,B023195
S004B039376,B039376
S005B005886,B005886
S002B000971,B000971
S007B012356,B012356
S001B047633,B047633
S004B012893,B012893
S001B002687,B002687
S006B019979,B019979
S001B011825,B011825
S005B010740,B010740
S003B032010,B032010
S006B034349,B034349
S009B037685,B037685
S001B019977,B019977
S006B029955,B029955
S005B017651,B017651
S004B018635,B018635
S006B018208,B018208
S000B039903,B039903
S001B038173,B038173
S002B002651,B002651
S007B034664,B034664
S003B041768,B041768
S002B030079,B030079
S003B045666,B045666
S002B043114,B043114
S002B022831,B022831
S006B027211,B027211
S006B016575,B016575
S004B035211,B035211
S006B024469,B024469
S007B033823,B033823
S000B008681,B008681
S001B049606,B049606
S009B002354,B002354
S006B022587,B022587
S000B026457,B026457
S006B039078,B039078
S006B000644,B000644
S006B046537,B046537
S005B030039,B030039
S005B002385,B002385
S003B025545,B025545
S000B026354,B026354
S007B035784,B035784
S005B002167,B002167
S008B035288,B035288
S004B021441,B021441
S005B050295,B050295
S008B039268,B039268
S009B048476,B048476
S005B004139,B004139
S002B026221,B026221
S009B016963,B016963
S008B007092,B007092
S001B033061,B033061
S002B024565,B024565
S000B028508,B028508
S000B012990,B012990
S005B022587,B022587
S006B013437,B013437
S006B044594,B044594
S003B006165,B006165
S003B008902,B008902
S008B017128,B017128
S003B038643,B038643
S005B017259,B017259
S000B006037,B006037
S005B044594,B044594
S006B023179,B023179
S003B012252,B012252
S002B049113,B049113
S007B000678,B000678
S008B036881,B036881
S008B007762,B007762
S005B003354,B003354
S004B042811,B042811
S008B048124,B048124
S005B000401,B000401
S001B020829,B020829
S003B039752,B039752
S006B024457,B024457
S009B039623,B039623
S002B046810,B046810
S009B011626,B011626
S001B045303,B045303
S004B042876,B042876
S006B022314,B022314
S009B000952,B000952
S006B026619,B026619
S007B016750,B016750
S007B039736,B039736
S009B045494,B045494
S005B026235,B026235
S008B022889,B022889
S008B025696,B025696
S001B007961,B007961
S002B039917,B039917
S001B021727,B021727
S004B031537,B031537
S006B010051,B010051
S003B025982,B025982
S004B049864,B049864
S005B032802,B032802
S001B001314,B001314
S007B047261,B047261
S008B048452,B048452
S006B004597,B004597
S005B036220,B036220
S008B046752,B046752
S004B050345,B050345
S009B002398,B002398
S005B000232,B000232
S009B012319,B012319
S001B043393,B043393
S006B006404,B006404
S000B026302,B026302
S004B022831,B022831
S002B043275,B043275
S000B006714,B006714
S000B003268,B003268
S001B020834,B020834
S007B041522,B041522
S004B035844,B035844
S000B001187,B001187
S008B003356,B003356
S001B036158,B036158
S004B016790,B016790
S001B046505,B046505
S001B049544,B049544
S006B029790,B029790
S000B017967,B017967
S007B013225,B013225
S000B043557,B043557
S000B045905,B045905
S005B017329,B017329
S005B034993,B034993
S008B024245,B024245
S004B010361,B010361
S001B035848,B035848
S009B020862,B020862
S003B019282,B019282
S006B006297,B006297
S005B010006,B010006
S005B043601,B043601
S006B048501,B048501
S002B013523,B013523
S009B039519,B039519
S000B018044,B018044
S004B011342,B011342
S009B026584,B026584
S006B011976,B011976
S003B033143,B033143
S000B042681,B042681
S006B039903,B039903
S000B040594,B040594
S009B015270,B015270
S001B031987,B031987
S006B045378,B045378
S008B048714,B048714
S008B048773,B048773
S000B022587,B022587
S003B005320,B005320
S009B016289,B016289
S004B035288,B035288
S007B048124,B048124
S006B007961,B007961
S005B022759,B022759
S006B037757,B037757
S001B025363,B025363
S003B007155,B007155
S002B022382,B022382
S008B006219,B006219
S005B045303,B045303
S007B045532,B045532
S009B006861,B006861
S000B031444,B031444
S000B037772,B037772
S005B039376,B039376
S003B022753,B022753
S002B003382,B003382
S009B003996,B003996
S001B019126,B019126
S007B046842,B046842
S008B016879,B016879
S008B046280,B046280
S000B009234,B009234
S009B039328,B039328
S002B002765,B002765
S008B039093,B039093
S005B019441,B019441
S005B024921,B024921
S000B044730,B044730
S005B028904,B028904
S008B030110,B030110
S007B034888,B034888
S008B021977,B021977
S003B038011,B038011
S002B014485,B014485
S007B013531,B013531
S008B026009,B026009
S007B047138,B047138
S004B038885,B038885
S006B017439,B017439
S002B036884,B036884
S006B018822,B018822
S003B027566,B027566
S006B047264,B047264
S005B037569,B037569
S006B031089,B031089
S003B049459,B049459
S003B043114,B043114
S002B029461,B029461
S009B044887,B044887
S008B007297,B007297
S004B004307,B004307
S005B026159,B026159
S004B011136,B011136
S008B038205,B038205
S008B022587,B022587
S007B032884,B032884
S008B032940,B032940
S008B016575,B016575
S003B025016,B025016
S008B004927,B004927
S006B009987,B009987
S004B045996,B045996
S009B016156,B016156
S008B047161,B047161
S005B026311,B026311
S000B001176,B001176
S009B012516,B012516
S006B037714,B037714
S008B049067,B049067
S003B040721,B040721
S004B022398,B022398
S008B009987,B009987
S007B027622,B027622
S009B014330,B014330
S002B006926,B006926
S008B031519,B031519
S001B003167,B003167
S009B034144,B034144
S007B027643,B027643
S002B000804,B000804
S008B038717,B038717
S006B041440,B041440
S001B034152,B034152
S007B021750,B021750
S006B031497,B031497
S008B041126,B041126
S002B001245,B001245
S001B007685,B007685
S007B020576,B020576
S007B049162,B049162
S006B035923,B035923
S001B011121,B011121
S007B010925,B010925
S001B038573,B038573
S005B034990,B034990
S006B050336,B050336
S006B035930,B035930
S007B010119,B010119
S000B038310,B038310
S007B044887,B044887
S001B041998,B041998
S007B033274,B033274
S009B014331,B014331
S000B010555,B010555
S004B045596,B045596
S008B040937,B040937
S003B040672,B040672
S008B015270,B015270
S007B048090,B048090
S002B003999,B003999
S009B021379,B021379
S000B017487,B017487
S004B032940,B032940
S004B044300,B044300
S007B025711,B025711
S008B044305,B044305
S007B011849,B011849
S007B042876,B042876
S004B046078,B046078
S002B000809,B000809
S003B022280,B022280
S006B048634,B048634
S000B017094,B017094
S002B027818,B027818
S004B035284,B035284
S005B031958,B031958
S006B036219,B036219
S001B011450,B011450
S002B017329,B017329
S001B030028,B030028
S003B033342,B033342
S004B032478,B032478
S006B010762,B010762
S001B016238,B016238
S004B042421,B042421
S008B001975,B001975
S001B033655,B033655
S002B042320,B042320
S005B037941,B037941
S000B031958,B031958
S001B023164,B023164
S005B009139,B009139
S009B033147,B033147
S008B024453,B024453
S009B042841,B042841
S009B021906,B021906
S008B012937,B012937
S003B015917,B015917
S007B036638,B036638
S006B041913,B041913
S009B004853,B004853
S002B004879,B004879
S002B033698,B033698
S004B038158,B038158
S009B006726,B006726
S005B021000,B021000
S008B004853,B004853
S001B030542,B030542
S009B013150,B013150
S009B038076,B038076
S004B042487,B042487
S005B021727,B021727
S000B021002,B021002
S004B038931,B038931
S006B049674,B049674
S005B015488,B015488
S009B005297,B005297
S003B041440,B041440
S001B022077,B022077
S008B018208,B018208
S006B025742,B025742
S001B002744,B002744
S001B013088,B013088
S001B039268,B039268
S006B000794,B000794
S006B033448,B033448
S004B044497,B044497
S007B003403,B003403
S008B024335,B024335
S007B000498,B000498
S003B033771,B033771
S008B021118,B021118
S009B036265,B036265
S005B004229,B004229
S009B045831,B045831
S001B028665,B028665
